date,hour,price
2019-01-01,0,33.48
2019-01-02,0,-4.98
2019-01-03,0,43.98
2019-01-04,0,51.78
2019-01-05,0,45.06
2019-01-06,0,52.46
2019-01-07,0,48.59
2019-01-08,0,42.02
2019-01-09,0,28.03
2019-01-10,0,58.46
2019-01-11,0,50.52
2019-01-12,0,49.56
2019-01-13,0,40.05
2019-01-14,0,0.05
2019-01-15,0,39.81
2019-01-16,0,35.31
2019-01-17,0,33.1
2019-01-18,0,46.76
2019-01-19,0,65
2019-01-20,0,65.35
2019-01-21,0,55.54
2019-01-22,0,56.32
2019-01-23,0,54.33
2019-01-24,0,62.18
2019-01-25,0,64.63
2019-01-26,0,44.64
2019-01-27,0,46
2019-01-28,0,47.06
2019-01-29,0,49.76
2019-01-30,0,47.01
2019-01-31,0,49.05
2019-02-01,0,44.38
2019-02-02,0,50.16
2019-02-03,0,45.17
2019-02-04,0,43.7
2019-02-05,0,36.18
2019-02-06,0,42.8
2019-02-07,0,46.25
2019-02-08,0,35.02
2019-02-09,0,35.1
2019-02-10,0,39.09
2019-02-11,0,5.33
2019-02-12,0,39.47
2019-02-13,0,38.01
2019-02-14,0,41.56
2019-02-15,0,43.96
2019-02-16,0,48.73
2019-02-17,0,44.15
2019-02-18,0,39.41
2019-02-19,0,36.12
2019-02-20,0,39.86
2019-02-21,0,39.36
2019-02-22,0,41.8
2019-02-23,0,38.04
2019-02-24,0,37.82
2019-02-25,0,38.7
2019-02-26,0,37.1
2019-02-27,0,40.98
2019-02-28,0,30.02
2019-03-01,0,39.4
2019-03-02,0,39.4
2019-03-03,0,23.54
2019-03-04,0,28.06
2019-03-05,0,31.01
2019-03-06,0,36.08
2019-03-07,0,25.59
2019-03-08,0,30.06
2019-03-09,0,28.05
2019-03-10,0,-10.79
2019-03-11,0,21.81
2019-03-12,0,40.98
2019-03-13,0,8.75
2019-03-14,0,25.25
2019-03-15,0,24.08
2019-03-16,0,17.47
2019-03-17,0,8.06
2019-03-18,0,19.04
2019-03-19,0,39.08
2019-03-20,0,38.28
2019-03-21,0,35.47
2019-03-22,0,39
2019-03-23,0,35.53
2019-03-24,0,39.15
2019-03-25,0,24.34
2019-03-26,0,33.25
2019-03-27,0,36.62
2019-03-28,0,32.73
2019-03-29,0,39.28
2019-03-30,0,37.49
2019-03-31,0,40.1
2019-04-01,0,31.06
2019-04-02,0,29.43
2019-04-03,0,31.9
2019-04-04,0,36.84
2019-04-05,0,36.45
2019-04-06,0,41.65
2019-04-07,0,36.36
2019-04-08,0,38.84
2019-04-09,0,36.02
2019-04-10,0,38.13
2019-04-11,0,37.5
