date,gas,eua,electricity.base,electricity.peak
2018-10-01,27.62,21.33,63.19,69.1
2018-10-02,27.223,20.9,49.75,52.16
2018-10-03,27.77,21.11,60.4,65.83
2018-10-04,27.398,21.29,72.76,78.93
2018-10-05,27.715,22.12,69.47,77.81
2018-10-08,27.891,21.82,74.18,83.18
2018-10-09,27.745,20.75,77.99,86.79
2018-10-10,27.516,19.43,73.68,81.68
2018-10-11,26.764,19.87,71.71,80.19
2018-10-12,25.817,20.35,63.95,71.27
2018-10-15,26.27,18.59,62.23,72.63
2018-10-16,26.827,19.25,74.16,83.9
2018-10-17,26.484,19.27,74.69,85.5
2018-10-18,26.067,19.73,71.48,81.04
2018-10-19,26.186,19.77,71.13,80.54
2018-10-22,26.849,18.99,69.51,78.73
2018-10-23,26.468,19.23,62.59,75.83
2018-10-24,25.803,19.61,58.91,71.08
2018-10-25,25.779,19.09,59.29,62.62
2018-10-26,25.212,18.26,61.58,67.35
2018-10-29,24.728,16.67,50.96,63.23
2018-10-30,24.977,16.15,42.72,50.17
2018-10-31,24.476,16.37,52.04,63.91
2018-11-01,24.205,15.64,49.45,54.23
2018-11-02,23.45,17.05,57.86,65.42
2018-11-05,23.782,17.22,59.22,69.65
2018-11-06,23.542,17.54,58.92,67.01
2018-11-07,23.44,18.61,56.48,64.44
2018-11-08,24.098,19.53,62.85,72.28
2018-11-09,24.37,19.44,59.79,66.64
2018-11-12,24.086,20.49,56.95,65.63
2018-11-13,25.486,20.15,59.36,67.59
2018-11-14,25.98,19.75,62.53,70.91
2018-11-15,26.274,18.97,64.32,71.95
2018-11-16,26.36,19.12,62.77,69.69
2018-11-19,26.354,18.91,66.61,74.18
2018-11-20,24.321,19.51,70.72,78.97
2018-11-21,24.68,20.5,73.65,86.59
2018-11-22,24.412,20.92,86.48,105.66
2018-11-23,24.329,20.18,81.49,97.65
2018-11-26,24.66,19.83,75.4,92
2018-11-27,24.25,19.66,76.02,91.51
2018-11-28,24.807,19.24,57.5,61.51
2018-11-29,24.2,19.28,60.09,66.74
2018-11-30,24.547,20.49,61.51,67.8
2018-12-03,24.442,20.64,59.84,67.6
2018-12-04,25.106,20.72,60.89,65.74
2018-12-05,24.444,19.66,59.33,68.06
2018-12-06,23.976,19.99,57.49,64.76
2018-12-07,23.207,20.36,58.84,65.38
2018-12-10,22.988,20.86,45.37,55.6
2018-12-11,23.337,20.16,61.6,68.42
2018-12-12,23.665,21.39,70.33,82.88
2018-12-13,24.067,22.34,68.89,77.89
2018-12-14,24.337,23.36,73.67,85.33
2018-12-17,24.69,23.36,69.56,80.57
2018-12-18,24.786,24.04,65.09,70.97
2018-12-19,24.241,24.36,62.85,69.45
2018-12-20,24.384,24.15,62.73,68.88
2018-12-21,24.639,24.63,64.21,67.58
2018-12-27,24.278,24.66,60.43,66.78
2018-12-28,23.38,24.61,60.04,66.29
2019-01-02,21.872,24.99,35.5,53.9
2019-01-03,22.036,23.04,59.35,66.46
2019-01-04,22.164,23.54,53.95,58.35
2019-01-07,22.518,22.07,61.48,68.77
2019-01-08,21.68,22.65,53.37,63.38
2019-01-09,22.275,21.85,56.57,65.29
2019-01-10,22.374,21.94,68.92,79.21
